"Add New Tax Class","Add New VAT Class",module,Magento_Tax
"Add New Tax Rate","Add New VAT Rate",module,Magento_Tax
"Add New Tax Rule","Add New VAT Rule",module,Magento_Tax
"An error occurred while deleting this tax rate.","An error occurred while deleting this VAT rate.",module,Magento_Tax
"An error occurred while loading this tax rate.","An error occurred while loading this VAT rate.",module,Magento_Tax
"Apply Customer Tax","Apply Customer VAT",module,Magento_Tax
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including VAT is calculated based on store VAT, if ""Apply VAT after Discount"" is selected.",module,Magento_Tax
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Apply discount on price including VAT is calculated based on store VAT if ""Apply VAT after Discount"" is selected."" est sélectionnée.",module,Magento_Tax
"Apply Tax On","Apply VAT On",module,Magento_Tax
"Billing Address","Invoice Address",module,Magento_Tax
"Both (without and with tax)","Both (without and with VAT)",module,Magento_Tax
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Click here to go to <a href=""%1"">VAT Configuration</a> and change your settings.",module,Magento_Tax
"Customer Tax Class","Customer VAT Class",module,Magento_Tax
"Default State","Default County",module,Magento_Tax
"Default Tax Class for Customer","Default VAT Class for Customer",module,Magento_Tax
"Default Tax Class for Product","Default VAT Class for Product",module,Magento_Tax
"Default Tax Destination Calculation","Default VAT Destination Calculation",module,Magento_Tax
"Display Full Tax Summary","Display Full VAT Summary",module,Magento_Tax
"Display Shipping Amount","Display Delivery Amount",module,Magento_Tax
"Display Shipping Prices","Display Delivery Prices",module,Magento_Tax
"Display Zero Tax Subtotal","Display Zero VAT Subtotal",module,Magento_Tax
"Do you really want to delete this tax class?","Do you really want to delete this VAT class?",module,Magento_Tax
"Do you really want to delete this tax rate?","Do you really want to delete this VAT rate?",module,Magento_Tax
"Edit Tax Rate","Edit VAT Rate",module,Magento_Tax
"Excl. Tax","Excl. VAT",module,Magento_Tax
"Excl. tax:","Excl. VAT:",module,Magento_Tax
"(Excl. Tax)","(Excl. VAT)",module,Magento_Tax
"Excluding Tax","Excluding VAT",module,Magento_Tax
"Export Tax Rates","Export VAT Rates",module,Magento_Tax
"Grand Total (Excl.Tax)","Grand Total (Excl.VAT)",module,Magento_Tax
"Grand Total (Excl. Tax)","Grand Total (Excl. VAT)",module,Magento_Tax
"Grand Total Excl. Tax","Grand Total Excl. VAT",module,Magento_Tax
"Grand Total (Incl. Tax)","Grand Total (Incl. VAT)",module,Magento_Tax
"Grand Total Incl. Tax","Grand Total Incl. VAT",module,Magento_Tax
"Grand Total (Incl.Tax)","Grand Total (Incl.VAT)",module,Magento_Tax
"Import and Export Tax Rates","Import and Export VAT Rates",module,Magento_Tax
"Import/Export Tax Rates","Import/Export VAT Rates",module,Magento_Tax
"Import Tax Rates","Import VAT Rates",module,Magento_Tax
"Incl. Tax","Incl. VAT",module,Magento_Tax
"(Incl. Tax)","(Incl. VAT)",module,Magento_Tax
"Include Tax In Grand Total","Include VAT In Grand Total",module,Magento_Tax
"Include Tax In Order Total","Include VAT In Order Total",module,Magento_Tax
"Including and Excluding Tax","Including and Excluding VAT",module,Magento_Tax
"Including Tax","Including VAT",module,Magento_Tax
"Invalid name of tax class specified.","Invalid name of VAT class specified.",module,Magento_Tax
"Invalid type of tax class ""%1""","Invalid type of VAT class %1",module,Magento_Tax
"Leave this field empty if you wish to use the tax identifier.","Leave this field empty if you wish to use the VAT identifier.",module,Magento_Tax
"Manage Tax Rates","Manage VAT Rates",module,Magento_Tax
"Manage Tax Rules","Manage VAT Rules",module,Magento_Tax
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - correspond à tout; 'xyz*' - correspond à ce qui commence par 'xyz' et qui ne fait pas plus de %1 caractères.",module,Magento_Tax
"Maximum zip code length is 9.","Maximum post code length is 9.",module,Magento_Tax
"New Tax Rate","New VAT Rate",module,Magento_Tax
"New Tax Rule","New VAT Rule",module,Magento_Tax
"No (price without tax)","No (price without VAT)",module,Magento_Tax
"Order Total Excl. Tax","Order Total Excl. VAT",module,Magento_Tax
"Order Total Incl. Tax","Order Total Incl. VAT",module,Magento_Tax
"Product Tax Class","Product VAT Class",module,Magento_Tax
"Shipping Address","Delivery Address",module,Magento_Tax
