"Shipping Address","Delivery Address",theme,frontend/Magento/blank
"Billing Info","Invoice Info",theme,frontend/Magento/blank
"Continue to Shipping Information","Continue to Delivery Information",theme,frontend/Magento/blank
"Add to Cart","Add to Basket",theme,frontend/Magento/blank
"Shipping","Delivery",theme,frontend/Magento/blank
"shipping","delivery",theme,frontend/Magento/blank
"Ship to","Deliver to",theme,frontend/Magento/blank
"Ship To","Deliver To",theme,frontend/Magento/blank
"Ship","Deliver",theme,frontend/Magento/blank
"You added %1 to your shopping cart.","You added %1 to your shopping basket.",theme,frontend/Magento/blank
"shopping cart","shopping basket",theme,frontend/Magento/blank
"Cart Subtotal","Basket Subtotal",theme,frontend/Magento/blank
"%1 Item in Cart","%1 Item in Basket",theme,frontend/Magento/blank
"Shipping Address","Delivery Address",theme,frontend/Magento/blank
