"Shipping Address","Delivery Address",theme,frontend/Magento/luma
"Billing Info","Invoice Info",theme,frontend/Magento/luma
"Continue to Shipping Information","Continue to Delivery Information",theme,frontend/Magento/luma
"Add to Cart","Add to Basket",theme,frontend/Magento/luma
"Shipping","Delivery",theme,frontend/Magento/luma
"shipping","delivery",theme,frontend/Magento/luma
"Ship to","Deliver to",theme,frontend/Magento/luma
"Ship To","Deliver To",theme,frontend/Magento/luma
"Ship","Deliver",theme,frontend/Magento/luma
"You added %1 to your shopping cart.","You added %1 to your shopping basket.",theme,frontend/Magento/luma
"shopping cart","shopping basket",theme,frontend/Magento/luma
"Cart Subtotal","Basket Subtotal",theme,frontend/Magento/luma
"%1 Item in Cart","%1 Item in Basket",theme,frontend/Magento/luma
"Shipping Address","Delivery Address",theme,frontend/Magento/luma
